(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के प्रमुख अनुसंधान केंद्र || 18-March : https://apps-s3-jw-prod.utkarshapp.com/admin_v1/file_library/videos/enc_plain_mp4/2058613/plain/720x1280.mp4
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-3 || राजस्थान में ऊर्जा संसाधन || 22-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/777373117653701600_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-1 || पशुधन || 27-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/526945041837080900_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-2 || पशुधन || 28-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/759556104563149600_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-3 || पशुधन || 29-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/154679174718619100_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-4 || पशुधन || 30-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/343518686776220900_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-5 || पशुधन || 01-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/569109658911478500_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-1 || डेयरी उद्योग || 02-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/276260472167625700_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-1 || राजस्थान में परिवहन || 03-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/825214180681298800_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-2 || राजस्थान में परिवहन || 04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/799800905554258000_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-3 || राजस्थान में परिवहन || 05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/893295280169810000_PDF.pdf
(राजस्थान की अर्थव्यवस्था - माधुरी कालरा मेम) Part-4 || राजस्थान में परिवहन || 09-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/104570209758091100_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || पाठ्यक्रम परिचर्चा || 30-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/94564140123689860_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || पाठ्यक्रम परिचर्चा || 01-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/783251310524294800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || अजमेर के चौहान || 02-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/446654161949714300_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 ||अजमेर के चौहान || 03-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/848676003727676000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 ||अजमेर के चौहान || 04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/421519902967358700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 ||अजमेर के चौहान || 05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/795957714178752000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-5 ||अजमेर के चौहान || 06-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/528892106698248700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-6 ||अजमेर के चौहान || 08-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/234056822790262700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || जालोर के चौहान || 09-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/32560929024044972_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || जालोर के चौहान || 10-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/824178384044835600_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || सिरोही के चौहान || 12-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/255977476608721380_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || बूंदी के चौहान || 13-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/135886850350513540_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || कोटा के चौहान || 15-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/708613137279571800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || चौहान वंश MCQ || 16-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/76290220511981070_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || मेवाड़ का इतिहास || 18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/514236788775259650_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || मेवाड़ का इतिहास || 17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/258937106665987360_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || मेवाड़ का इतिहास || 20-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/345403885087029500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 || मेवाड़ का इतिहास || 22-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/261160762415459230_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-5 || मेवाड़ का इतिहास || 23-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/714821399165618400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-6 || मेवाड़ का इतिहास || 24-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/201236234147758800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-7 || मेवाड़ का इतिहास || 25-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/175911963400324480_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-8 || मेवाड़ का इतिहास || 27-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/387597194457222200_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-9 || मेवाड़ का इतिहास || 29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/430218091043080400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-10 || मेवाड़ का इतिहास || 30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/388926627683819500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-11 || मेवाड़ का इतिहास || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/335890210422714500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-12 || मेवाड़ का इतिहास || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/191527239591061300_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-13 || मेवाड़ का इतिहास || 04-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/861848813230137700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-14 || मेवाड़ का इतिहास || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/689695364292031200_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || मारवाड़ का इतिहास  || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/511991260600015000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || मारवाड़ का इतिहास || 10-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/568129359392616400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || मारवाड़ का इतिहास || 11-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/806083642443898400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 || मारवाड़ का इतिहास || 14-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/219129380850415700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-5 || मारवाड़ का इतिहास || 15-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/396729572817945000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-6 || मारवाड़ का इतिहास || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/768318034488052500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || बीकानेर का इतिहास || 17-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/27116489873428010_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || बीकानेर का इतिहास || 18-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/652708107893648500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || आमेर का इतिहास || 20-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/280697019473981400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || आमेर का इतिहास ||22-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/602596233690668700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || आमेर का इतिहास ||23-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/885447271233148500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 || आमेर का इतिहास || 24-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/288618180643544000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || गुर्जर प्रतिहार || 25-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/511459667469866940_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || गुर्जर प्रतिहार || 27-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/857495411274371800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || गुर्जर प्रतिहार || 28-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/353235625328684800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || 1857 की क्रांति || 29-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/450825741720148740_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || 1857 की क्रांति || 30-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/17312259460297352_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || 1857 की क्रांति || 01-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/151843903626461800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 || 1857 की क्रांति || 03-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/75745736503598130_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-5 || 1857 की क्रांति || 04-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/371495201770884300_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-6 || 1857 की क्रांति || 05-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/148783533397426300_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-7 || 1857 की क्रांति || 06-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/87748410172639570_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-8 || 1857 की क्रांति || 07-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/60836820169089110_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-9 || 1857 की क्रांति || 10-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/422400898285281000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || किसान आंदोलन || 11-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/82136944412258110_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || किसान आंदोलन || 12-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/368225379359036400_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || किसान आंदोलन || 14-June : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/742608238040522000_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || प्रजामंडल आंदोलन || 13-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/810610048495861500_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2 || प्रजामंडल आंदोलन || 15-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/503027665820719200_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-3 || प्रजामंडल आंदोलन || 16-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/458686665378018050_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-4 || प्रजामंडल आंदोलन || 17-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/58356410193037944_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-5 || प्रजामंडल आंदोलन || 18-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/776141821867311700_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-6 || प्रजामंडल आंदोलन || 19-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/94102965367140800_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || राजस्थान का एकीकरण || 20-July : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/489732677283194240_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2|| राजस्थान का एकीकरण || 02-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/436123771635401200_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-1 || राजस्थान का प्राचीन सभ्यताएं|| 03-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/308262105762132540_PDF.pdf
(Rajasthan History By Bharat Dadhich Sir) Part-2  || राजस्थान का प्राचीन सभ्यताएं|| 04-September : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/388432513654574800_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान का सामान्य परिचय || : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/179265586930885250_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान का सामान्य परिचय || : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/553629550145130500_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान का सामान्य परिचय || : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/270434324107401000_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान का सामान्य परिचय || : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/691112343402801000_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान के भौतिक प्रदेश || 13-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/437641928992387000_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2|| राजस्थान के भौतिक प्रदेश || 14-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/120055004527529680_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान के भौतिक प्रदेश || 15-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/6653042210613425_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 ||राजस्थान के भौतिक प्रदेश || 16-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/498717701677908160_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान के भौतिक प्रदेश || 20-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/254393520511797570_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-6 || राजस्थान के भौतिक प्रदेश || 21-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/709618491317131400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-7 || राजस्थान का सामान्य परिचय ||22-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/180621935407685730_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-8 || राजस्थान के भौतिक प्रदेश || 23-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/409556399513485500_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-9 || राजस्थान का सामान्य परिचय || 24-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/344483776349894340_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-10 || राजस्थान के भौतिक प्रदेश || 26-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/124996322694102370_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान की जलवायु || 27-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/761119700647172100_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान की जलवायु || 28-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/513582960171734200_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान की जलवायु || 29-February : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/12754494270690996_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान की जलवायु || 01-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/710704890818101400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान की जलवायु || 02-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/259318762730699400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान का अपवाह तंत्र || 04-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/605364268676569200_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान का अपवाह तंत्र || 05-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/370693694202394600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान का अपवाह तंत्र || 06-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/503680173767094850_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान का अपवाह तंत्र || 07-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/619802704749807600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान का अपवाह तंत्र || 08-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/361416900708272000_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-6 || राजस्थान का अपवाह तंत्र || 09-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/536206375596397760_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-7 || राजस्थान का अपवाह तंत्र || 11-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/685322157665892900_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-8 || राजस्थान का अपवाह तंत्र || 12-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/236909874266606400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-9 || राजस्थान का अपवाह तंत्र || 13-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/397801491269446300_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-10 || राजस्थान का अपवाह तंत्र || 15-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/348145256287404500_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-11 || राजस्थान का अपवाह तंत्र || 16-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/20244794142058044_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-12 || राजस्थान का अपवाह तंत्र || 18-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/263283721631993760_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान में मृदा एवं मृदा अपरदन || 19-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/49799727486406420_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान में वन्य जीव एवं सम्पदा || 20-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/713627616392623600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान में वन्य जीव एवं सम्पदा || 21-March : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/655034826473554300_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान में वन्य जीव एवं सम्पदा || 01-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/131799260760572460_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान में वन्य जीव एवं सम्पदा || 02-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/851068431289283800_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान में कृषि ||  03-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/628090028429303200_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान में कृषि ||  04-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/239385770311602200_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान में कृषि ||  05-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/537445763662465600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान में कृषि ||  06-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/112877728843136910_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-6 ||राजस्थान में कृषि ||  09-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/199052614317556900_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान में कृषि ||  08-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/607515746784139600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-7 ||राजस्थान में कृषि ||  10-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/488022414046796540_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-8 ||राजस्थान में कृषि ||  12-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/322141723546176700_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || सिंचाई परियोजना ||  17-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/20943372823957416_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || सिंचाई परियोजना ||  18-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/676996238983528700_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान में खनिज ||  19-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/663297731464432500_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान में खनिज ||  29-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/564169785934555200_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान में खनिज ||  30-April : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/121815982038791150_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान में खनिज || 01-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/532024034468238850_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान में खनिज || 02-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/437075201154253300_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान मे उद्योग || 03-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/8855996180421810_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान मे उद्योग || 04-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/753085699698002700_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान मे उद्योग || 06-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/23541623784153876_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान मे उद्योग || 07-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/421822243948963460_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-5 || राजस्थान मे उद्योग || 08-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/580939427355248600_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-6 || राजस्थान मे उद्योग || 09-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/62219307682448456_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-1 || राजस्थान में पर्यटन || 10-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/335504109617654850_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-2 || राजस्थान में पर्यटन || 14-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/183141460069578400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-3 || राजस्थान में पर्यटन || 15-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/778304405568948400_PDF.pdf
(राजस्थान का भूगोल - नरेंद्र चौधरी सर) Part-4 || राजस्थान में पर्यटन || 16-May : https://apps-s3-prod.utkarshapp.com/admin_v1/file_manager/pdf/529173347788279700_PDF.pdf
